A_touches_scored_avg,A_touches_received_avg,B_touches_scored_avg,B_touches_received_avg,A_fatigue,B_fatigue,A_injury,B_injury,A_win
4.375543656709952,4.573777862264544,4.326045953384611,5.55790477134702,0,3,3,1,1
4.528026196104561,3.259130941111924,4.980119586668847,3.619783821225808,0,1,3,3,0
3.5351020479309514,3.2095770520180382,3.0290645123903874,5.676148974243986,3,2,0,0,1
5.775490277512646,5.145536246891227,4.472455838552634,4.408494908783625,0,3,2,2,1
4.243702455448359,3.522335856681397,4.4258683257258475,5.350943895363862,1,1,0,1,1
3.431488097043168,4.948389089351805,4.617670792241258,3.9770542992504465,3,3,0,1,0
3.388237012266754,4.736767162616683,3.2767805112207995,5.731634167180391,2,3,1,2,1
5.631392897643715,3.280378369332352,4.278917640969716,4.419662021837132,3,2,2,0,1
3.08120695433157,5.19419201999948,5.300890516352776,3.02929930678885,1,3,2,2,0
4.5102822838198575,5.8611641419914955,4.673433902648616,3.2924060661764694,2,3,0,1,0
3.472896827209973,5.9772885698569675,3.2550032025444757,3.2833737424514835,0,3,1,2,0
5.810239421368366,4.3421348838214,5.183089029394946,5.226713933795049,0,2,0,3,1
4.3316360270240954,4.175322957701873,4.595547531215079,5.53607304546072,0,1,0,2,1
4.827532744675164,3.2954340100919124,3.276082756835872,3.1678974850483437,2,0,2,0,1
5.5185389004589895,4.567111596813934,4.539224589514637,4.94949592057036,1,1,1,0,1
4.740455148812932,5.313267144509894,4.128679722816562,4.473074222702182,3,2,0,2,0
4.122969589911662,3.136978925966935,3.930202919906849,5.494558199616412,3,1,3,1,1
4.104307205944602,3.938259887320573,5.405508450159397,3.2113415578324784,2,0,3,1,0
4.901792868953774,5.780637268363875,5.561820352615915,4.493033935606952,3,1,3,1,0
5.214679742191513,4.341431521487509,5.906709123298308,4.089483773521339,2,0,3,1,0
4.347250283103869,5.81185309175327,3.7717004564141803,4.145279421708845,1,2,1,3,0
3.363179638803256,3.7246370594818896,3.684790829701114,4.468527986503078,1,0,2,2,1
4.155712255649783,5.750181057990545,3.3414499211695836,4.893376624713173,2,3,0,1,0
3.9732145908949135,5.040346612881286,5.3866042384174415,4.511800835638306,3,0,0,1,0
4.055611682781766,5.2151710130808375,4.666083789078525,3.604553139969655,2,1,2,1,0
4.046347992511798,3.073859871169367,3.446487910329526,3.3955561144888575,2,2,0,2,1
4.835245243298874,5.015721048839868,4.342547612283074,5.0882315068980155,0,1,1,0,1
5.880770353124721,3.217303342397392,3.057901819353213,5.938719755593469,1,1,3,0,1
3.6465864346936345,4.7397371951955165,5.92725505541979,3.819026703881714,0,2,0,0,0
5.664131116253131,5.12582651474433,3.8333210208945316,5.684589576534266,2,3,0,3,1
